count,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_clean,Emotions,text_sep,Hashtags_sep,Country_sep
1, Enjoying a beautiful day at the park!              , Positive  ,2023/1/15 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12,Positive,Positive,"['Enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park!']","['#Nature', '#Park']",['USA']
1, Traffic was terrible this morning.                 , Negative  ,2023/1/15 8:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8,Negative,Negative,"['Traffic', 'was', 'terrible', 'this', 'morning.']","['#Traffic', '#Morning']",['Canada']
1, Just finished an amazing workout!                , Positive  ,2023/1/15 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15,Positive,Positive,"['Just', 'finished', 'an', 'amazing', 'workout!', '']","['#Fitness', '#Workout']",['USA']
1, Excited about the upcoming weekend getaway!        , Positive  ,2023/1/15 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18,Positive,Positive,"['Excited', 'about', 'the', 'upcoming', 'weekend', 'getaway!']","['#Travel', '#Adventure']",['UK']
1, Trying out a new recipe for dinner tonight.        , Neutral   ,2023/1/15 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19,Neutral,Neutral,"['Trying', 'out', 'a', 'new', 'recipe', 'for', 'dinner', 'tonight.']","['#Cooking', '#Food']",['Australia']
1, Feeling grateful for the little things in life.    , Positive  ,2023/1/16 9:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9,Positive,Positive,"['Feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life.']","['#Gratitude', '#PositiveVibes']",['India']
1, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023/1/16 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14,Positive,Positive,"['Rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa.']","['#RainyDays', '#Cozy']",['Canada']
1, The new movie release is a must-watch!             , Positive  ,2023/1/16 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19,Positive,Positive,"['The', 'new', 'movie', 'release', 'is', 'a', 'must-watch!']","['#MovieNight', '#MustWatch']",['USA']
1, Political discussions heating up on the timeline.  , Negative  ,2023/1/17 8:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8,Negative,Negative,"['Political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline.']","['#Politics', '#Debate']",['USA']
1, Missing summer vibes and beach days.               , Neutral   ,2023/1/17 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12,Neutral,Neutral,"['Missing', 'summer', 'vibes', 'and', 'beach', 'days.']","['#Summer', '#BeachDays']",['Australia']
